City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
347,Tres Lagoas,BR,2021-03-12 23:03:08,-20.7511,-51.6783,77.13,63,84,3.18
348,Hamina,FI,2021-03-12 23:03:09,60.5697,27.1979,25.0,93,90,6.91
349,Opuwo,NA,2021-03-12 23:03:09,-18.0607,13.84,68.85,56,35,2.24
350,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
351,Noyabrsk,RU,2021-03-12 23:03:10,63.1994,75.4507,-2.79,95,100,20.49
352,Beirut,LB,2021-03-12 22:59:53,33.8889,35.4944,57.2,58,0,4.61
353,Altamira,BR,2021-03-12 22:59:57,-3.2033,-52.2064,74.53,98,76,2.77
354,Luanda,AO,2021-03-12 23:03:11,-8.8368,13.2343,77.0,83,40,10.36
355,Lukulu,ZM,2021-03-12 23:03:11,-14.3707,23.242,67.23,92,100,7.54
356,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
357,Lujan,AR,2021-03-12 23:03:12,-34.5703,-59.105,77.0,52,1,8.63
358,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
359,Katakwi,UG,2021-03-12 23:03:12,1.8911,33.9661,72.1,46,88,6.96
360,Olafsvik,IS,2021-03-12 23:03:13,64.8945,-23.7142,29.32,75,62,21.41
361,Georgetown,MY,2021-03-12 23:01:15,5.4112,100.3354,77.0,94,20,3.44
362,Kyzyl-Suu,KG,2021-03-12 23:01:42,42.3414,78.0056,40.93,37,88,11.9
363,Saint-Pierre,RE,2021-03-12 23:03:14,-21.3393,55.4781,77.0,69,0,8.05
364,Mahebourg,MU,2021-03-12 23:01:04,-20.4081,57.7,78.8,73,40,6.91
365,Mahebourg,MU,2021-03-12 23:01:04,-20.4081,57.7,78.8,73,40,6.91
366,Saint-Philippe,RE,2021-03-12 23:01:53,-21.3585,55.7679,77.0,69,0,8.05
367,Saint George,US,2021-03-12 23:00:09,37.1041,-113.5841,44.01,81,75,3.44
368,Georgetown,MY,2021-03-12 23:01:15,5.4112,100.3354,77.0,94,20,3.44
